Woonplaats,State,StateFull,Constellation,Bloodtype,Pounds,Kilograms,FeetInches,Centimeters,Gender
Utrecht,UT,Utrecht,Cancer,B+,201.1,91.4,"5' 6""",167,female
Bergen,NH,Noord-Holland,Aries,O+,222.9,101.3,"5' 2""",157,female
Diemen,NH,Noord-Holland,Virgo,O+,249.3,113.3,"5' 9""",175,male
Huizen,NH,Noord-Holland,Scorpio,O+,165.2,75.1,"5' 6""",167,female
Neede,GE,Gelderland,Pisces,A+,180.4,82,"5' 4""",163,male
Mijnsheerenland,ZH,Zuid-Holland,Libra,B+,122.1,55.5,"5' 7""",171,female
Zutphen,GE,Gelderland,Taurus,O+,186.6,84.8,"6' 2""",187,male
Schalkhaar,OV,Overijssel,Cancer,B+,152.5,69.3,"5' 9""",175,female
Duiven,GE,Gelderland,Scorpio,A+,192.1,87.3,"5' 9""",176,male
Groenlo,GE,Gelderland,Aquarius,A-,223.5,101.6,"6' 1""",185,male
Coevorden,DR,Drenthe,Capricorn,O+,224,101.8,"5' 1""",154,female
Eindhoven,NB,Noord-Brabant,Libra,O+,141,64.1,"6' 2""",188,male
Dordrecht,ZH,Zuid-Holland,Libra,AB+,143.9,65.4,"5' 6""",168,female
Amstelveen,NH,Noord-Holland,Cancer,O+,207,94.1,"6' 2""",187,male
Maastricht,LI,Limburg,Cancer,A+,162.4,73.8,"5' 7""",170,male
Haarlem,NH,Noord-Holland,Virgo,A-,231,105,"5' 2""",158,female
Hillegom,ZH,Zuid-Holland,Cancer,O+,115.3,52.4,"5' 7""",170,female
Assen,DR,Drenthe,Aries,B+,177.5,80.7,"5' 5""",165,male
Ter Hole,ZE,Zeeland,Leo,AB+,215.2,97.8,"5' 7""",171,female
Amsterdam,NH,Noord-Holland,Leo,B+,132.4,60.2,"5' 5""",165,male
Rijnsburg,ZH,Zuid-Holland,Virgo,O+,222.2,101,"5' 7""",169,female
Raamsdonk,NB,Noord-Brabant,Virgo,O+,133.3,60.6,"5' 5""",166,male
Meppel,DR,Drenthe,Aquarius,A+,203.3,92.4,"5' 7""",171,female
Doetinchem,GE,Gelderland,Aquarius,AB+,216.3,98.3,"5' 7""",171,female
Oost-Souburg,ZE,Zeeland,Aquarius,B+,172.5,78.4,"5' 9""",175,female
Hengelo,OV,Overijssel,Aries,O+,218,99.1,"5' 1""",156,female
Zoetermeer,ZH,Zuid-Holland,Taurus,A+,166.8,75.8,"5' 7""",169,female
Stein,LI,Limburg,Cancer,AB+,165.9,75.4,"5' 6""",168,male
Amsterdam,NH,Noord-Holland,Libra,A+,204.6,93,"5' 11""",181,male
Zierikzee,ZE,Zeeland,Aquarius,B+,119.7,54.4,"5' 2""",158,female
Renkum,GE,Gelderland,Sagittarius,O+,155.5,70.7,"5' 7""",171,female
Almere,FL,Flevoland,Virgo,B+,121.4,55.2,"5' 6""",167,female
Ouderkerk aan de Amstel,NH,Noord-Holland,Scorpio,O+,191,86.8,"5' 2""",158,female
Zuurdijk,GR,Groningen,Pisces,A+,168.5,76.6,"5' 9""",174,male
Eindhoven,NB,Noord-Brabant,Virgo,A+,203.3,92.4,"5' 9""",174,male
Goes,ZE,Zeeland,Cancer,B+,164.6,74.8,"5' 5""",164,female
Groningen,GR,Groningen,Aquarius,A+,163.5,74.3,"5' 9""",176,male
Veendam,GR,Groningen,Taurus,B+,196.7,89.4,"6' 2""",187,male
Almelo,OV,Overijssel,Virgo,B+,177.8,80.8,"5' 7""",169,female
Stevensweert,LI,Limburg,Aquarius,B+,192.5,87.5,"5' 9""",175,female
Nieuwkoop,ZH,Zuid-Holland,Taurus,O+,155.1,70.5,"5' 6""",168,female
Ede,GE,Gelderland,Cancer,B+,170.3,77.4,"5' 10""",179,male
Midlum,FR,Friesland,Taurus,O+,175.8,79.9,"5' 6""",168,male
Tholen,ZE,Zeeland,Pisces,A+,205.3,93.3,"5' 10""",177,male
Maasbree,LI,Limburg,Taurus,A+,127.2,57.8,"5' 4""",163,female
Etten-Leur,NB,Noord-Brabant,Pisces,A+,218.7,99.4,"5' 6""",167,male
Zundert,NB,Noord-Brabant,Leo,O+,151.4,68.8,"5' 6""",167,male
Rotterdam,ZH,Zuid-Holland,Gemini,A+,142.8,64.9,"5' 3""",160,female
Moordrecht,ZH,Zuid-Holland,Sagittarius,B+,179.1,81.4,"5' 9""",174,male
Rijswijk,ZH,Zuid-Holland,Cancer,B+,158.2,71.9,"5' 5""",165,female
Leunen,LI,Limburg,Taurus,B+,206.8,94,"5' 5""",165,male
Nijmegen,GE,Gelderland,Aquarius,O+,170.1,77.3,"5' 9""",174,male
Nijmegen,GE,Gelderland,Libra,O+,141.7,64.4,"5' 6""",168,female
Maarssen,UT,Utrecht,Cancer,O+,178.9,81.3,"5' 7""",169,female
Amsterdam-Zuidoost,NH,Noord-Holland,Aquarius,B+,191.2,86.9,"5' 10""",178,male
Amsterdam,NH,Noord-Holland,Pisces,O+,152.2,69.2,"5' 1""",154,female
Panningen,LI,Limburg,Virgo,O+,143,65,"5' 1""",155,female
Amsterdam,NH,Noord-Holland,Cancer,A+,192.7,87.6,"5' 6""",168,female
Groningen,GR,Groningen,Aries,B+,209.4,95.2,"5' 8""",173,male
Woudsend,FR,Friesland,Scorpio,AB+,168.7,76.7,"5' 9""",175,male
Hansweert,ZE,Zeeland,Cancer,A+,140.1,63.7,"5' 11""",181,male
Hengelo,GE,Gelderland,Scorpio,A+,192.5,87.5,"5' 4""",162,female
Gennep,LI,Limburg,Gemini,O+,255,115.9,"6' 1""",185,male
Apeldoorn,GE,Gelderland,Gemini,O+,135.5,61.6,"5' 4""",162,female
Den Haag,ZH,Zuid-Holland,Aquarius,A-,108.7,49.4,"5' 2""",157,female
Haarle,OV,Overijssel,Capricorn,B+,189.2,86,"5' 5""",164,female
Almere,FL,Flevoland,Sagittarius,B+,161.9,73.6,"5' 9""",176,male
Vlissingen,ZE,Zeeland,Scorpio,B+,229,104.1,"6' 0""",183,male
Bodegraven,ZH,Zuid-Holland,Pisces,O+,173.8,79,"5' 7""",171,female
Honselersdijk,ZH,Zuid-Holland,Capricorn,B+,125.6,57.1,"5' 8""",173,female
Rotterdam,ZH,Zuid-Holland,Capricorn,B+,221.5,100.7,"5' 8""",173,male
Stolwijk,ZH,Zuid-Holland,Cancer,A+,229.5,104.3,"5' 1""",156,female
Warns,FR,Friesland,Capricorn,A-,162.6,73.9,"5' 2""",158,female
Nijkerk,GE,Gelderland,Libra,A+,194.7,88.5,"5' 5""",165,female
Brummen,GE,Gelderland,Aries,A+,222.4,101.1,"5' 1""",155,female
Nieuwegein,UT,Utrecht,Virgo,A+,214.7,97.6,"5' 7""",170,female
Rijsenhout,NH,Noord-Holland,Aries,O+,240.2,109.2,"5' 10""",178,male
s-Hertogenbosch,NB,Noord-Brabant,Leo,O+,158.4,72,"5' 7""",171,female
Woubrugge,ZH,Zuid-Holland,Sagittarius,A+,198,90,"5' 5""",165,female
Nootdorp,ZH,Zuid-Holland,Sagittarius,A-,229,104.1,"5' 10""",178,male
Amsterdam,NH,Noord-Holland,Scorpio,O+,154.7,70.3,"5' 6""",167,female
De Westereen,FR,Friesland,Scorpio,A+,245.1,111.4,"5' 11""",181,male
Petten,NH,Noord-Holland,Capricorn,A+,193.6,88,"5' 3""",161,female
Zwanenburg,NH,Noord-Holland,Capricorn,O+,203.3,92.4,"5' 4""",163,female
Meppen,DR,Drenthe,Capricorn,O+,136.8,62.2,"5' 6""",167,male
Vlaardingen,ZH,Zuid-Holland,Aries,B+,142.6,64.8,"5' 10""",178,male
Dokkum,FR,Friesland,Gemini,O+,197.3,89.7,"5' 5""",165,female
Apeldoorn,GE,Gelderland,Aquarius,A+,207.5,94.3,"6' 2""",189,male
Hilversum,NH,Noord-Holland,Aquarius,O+,184.1,83.7,"5' 2""",158,female
Sneek,FR,Friesland,Cancer,O-,225.7,102.6,"5' 0""",152,female
Hoek,ZE,Zeeland,Taurus,B+,217.6,98.9,"6' 1""",186,male
Schiedam,ZH,Zuid-Holland,Sagittarius,A+,217.6,98.9,"5' 9""",176,male
Westerhaar-Vriezenveensewijk,OV,Overijssel,Scorpio,O+,201.3,91.5,"5' 1""",156,female
De Rijp,NH,Noord-Holland,Capricorn,O+,244.9,111.3,"5' 8""",173,male
Wassenaar,ZH,Zuid-Holland,Libra,A+,122.8,55.8,"5' 7""",170,female
Den Haag,ZH,Zuid-Holland,Capricorn,O+,145.9,66.3,"5' 9""",175,male
Amsterdam,NH,Noord-Holland,Aries,A+,240.7,109.4,"6' 1""",186,male
Nootdorp,ZH,Zuid-Holland,Gemini,O+,200,90.9,"5' 9""",175,male
Rijnsburg,ZH,Zuid-Holland,Cancer,AB+,153.3,69.7,"5' 2""",158,female
Den Burg,NH,Noord-Holland,Capricorn,O+,195.4,88.8,"5' 5""",164,male
Houten,UT,Utrecht,Scorpio,O-,147.6,67.1,"5' 7""",171,female
Westendorp,GE,Gelderland,Sagittarius,B-,112,50.9,"5' 1""",155,female
Doetinchem,GE,Gelderland,Virgo,AB+,130.7,59.4,"5' 7""",171,female
Amsterdam,NH,Noord-Holland,Aquarius,B+,213.8,97.2,"5' 11""",180,male
Kampen,OV,Overijssel,Capricorn,O-,191.6,87.1,"5' 9""",175,female
Amsterdam,NH,Noord-Holland,Leo,A+,116.2,52.8,"5' 5""",165,female
Nijmegen,GE,Gelderland,Capricorn,O+,223.5,101.6,"5' 9""",176,male
Oud Gastel,NB,Noord-Brabant,Pisces,AB+,154.7,70.3,"5' 6""",168,female
Voorschoten,ZH,Zuid-Holland,Pisces,B+,184.4,83.8,"5' 7""",171,female
Terneuzen,ZE,Zeeland,Taurus,AB+,112.4,51.1,"5' 2""",158,female
Waalwijk,NB,Noord-Brabant,Scorpio,O+,214.1,97.3,"5' 10""",178,male
Kloosterburen,GR,Groningen,Libra,O-,164.6,74.8,"5' 7""",170,female
Borne,OV,Overijssel,Scorpio,O+,139,63.2,"5' 4""",162,female
Krimpen aan de Lek,ZH,Zuid-Holland,Pisces,B+,228.6,103.9,"6' 0""",182,male
Bathmen,OV,Overijssel,Aquarius,B+,142.3,64.7,"5' 7""",169,female
Noordwijk,ZH,Zuid-Holland,Aries,B+,143,65,"5' 3""",161,female
s-Hertogenbosch,NB,Noord-Brabant,Virgo,B+,194.5,88.4,"5' 9""",175,female
s-Hertogenbosch,NB,Noord-Brabant,Taurus,O+,178.9,81.3,"5' 11""",180,male
Stadskanaal,GR,Groningen,Pisces,O+,207.9,94.5,"5' 2""",157,female
Nieuw-Beijerland,ZH,Zuid-Holland,Pisces,O+,111.1,50.5,"5' 1""",155,female
Tilburg,NB,Noord-Brabant,Cancer,O+,193.6,88,"5' 5""",164,male
Groningen,GR,Groningen,Aries,A+,146.7,66.7,"5' 2""",157,female
Denekamp,OV,Overijssel,Gemini,B+,240,109.1,"6' 1""",185,male
Goor,OV,Overijssel,Cancer,A+,105.6,48,"5' 3""",160,female
Noordwijkerhout,ZH,Zuid-Holland,Pisces,O+,212.1,96.4,"5' 5""",166,female
Tilburg,NB,Noord-Brabant,Pisces,O+,206.4,93.8,"5' 0""",153,female
Scherpenzeel,GE,Gelderland,Leo,A+,217.1,98.7,"5' 6""",167,male
Loosdrecht,NH,Noord-Holland,Capricorn,A-,222.9,101.3,"5' 9""",174,male
Zevenhuizen,ZH,Zuid-Holland,Libra,A+,230.8,104.9,"6' 3""",190,male
Hoek van Holland,ZH,Zuid-Holland,Virgo,A+,147.8,67.2,"5' 3""",161,female
Haarlem,NH,Noord-Holland,Sagittarius,A+,120.1,54.6,"5' 0""",152,female
Epe,GE,Gelderland,Aries,O+,179.7,81.7,"6' 0""",184,male
Zevenbergen,NB,Noord-Brabant,Virgo,O-,175.8,79.9,"5' 10""",177,male
Dongen,NB,Noord-Brabant,Cancer,A+,137.1,62.3,"5' 5""",165,male
Soest,UT,Utrecht,Cancer,A+,170.9,77.7,"5' 9""",175,female
Heino,OV,Overijssel,Cancer,A+,176.9,80.4,"5' 7""",171,female
Uden,NB,Noord-Brabant,Sagittarius,O+,222,100.9,"5' 4""",162,female
Apeldoorn,GE,Gelderland,Virgo,O+,158.4,72,"5' 9""",174,male
Vlijmen,NB,Noord-Brabant,Leo,A-,170.3,77.4,"5' 9""",174,female
Vlaardingen,ZH,Zuid-Holland,Capricorn,O+,183.3,83.3,"6' 0""",182,male
Oude Wetering,ZH,Zuid-Holland,Aquarius,O-,187.9,85.4,"5' 5""",166,female
Rottevalle,FR,Friesland,Libra,AB+,114,51.8,"5' 6""",167,female
Enschede,OV,Overijssel,Sagittarius,O+,196,89.1,"5' 9""",174,male
Heemskerk,NH,Noord-Holland,Aquarius,A+,171.2,77.8,"5' 8""",173,male
Zierikzee,ZE,Zeeland,Gemini,O+,116.2,52.8,"5' 3""",160,female
Den Haag,ZH,Zuid-Holland,Aries,A+,219.3,99.7,"5' 8""",172,male
Den Haag,ZH,Zuid-Holland,Scorpio,O+,218.7,99.4,"5' 10""",179,male
Dongen,NB,Noord-Brabant,Aquarius,O+,144.3,65.6,"5' 0""",152,female
Amstelveen,NH,Noord-Holland,Cancer,O+,171.6,78,"5' 2""",157,female
Boxtel,NB,Noord-Brabant,Leo,B+,212.5,96.6,"5' 11""",181,male
Soest,UT,Utrecht,Virgo,A+,217.4,98.8,"5' 3""",161,female
Roermond,LI,Limburg,Cancer,A+,212.1,96.4,"5' 9""",176,male
Nieuwe-Tonge,ZH,Zuid-Holland,Pisces,O+,164.3,74.7,"5' 9""",176,male
Kampen,OV,Overijssel,Sagittarius,O+,189.9,86.3,"5' 1""",156,female
Enschede,OV,Overijssel,Libra,B+,187.2,85.1,"5' 6""",167,male
Waalwijk,NB,Noord-Brabant,Aquarius,O+,176,80,"5' 11""",181,male
Nijmegen,GE,Gelderland,Gemini,O+,166.8,75.8,"5' 2""",158,female
Alphen aan den Rijn,ZH,Zuid-Holland,Aries,O+,176.9,80.4,"5' 8""",172,female
Amstelveen,NH,Noord-Holland,Virgo,A+,155.3,70.6,"5' 8""",173,female
Amsterdam,NH,Noord-Holland,Libra,A+,147.6,67.1,"5' 9""",176,male
Losser,OV,Overijssel,Capricorn,O+,112.6,51.2,"5' 3""",160,female
Oude Bildtzijl,FR,Friesland,Gemini,O+,154,70,"5' 7""",169,male
Den Haag,ZH,Zuid-Holland,Aries,AB+,216.5,98.4,"6' 0""",183,male
Zuidhorn,GR,Groningen,Pisces,O+,206.1,93.7,"5' 8""",173,male
Oosterblokker,NH,Noord-Holland,Sagittarius,A+,156.9,71.3,"5' 9""",174,male
Utrecht,UT,Utrecht,Taurus,B+,151.4,68.8,"5' 10""",178,male
Amsterdam,NH,Noord-Holland,Aquarius,O-,174.7,79.4,"5' 3""",161,female
Amsterdam,NH,Noord-Holland,Capricorn,O+,154,70,"5' 5""",166,male
Groningen,GR,Groningen,Aries,O+,213.6,97.1,"5' 9""",174,female
Bussum,NH,Noord-Holland,Virgo,B+,191,86.8,"5' 4""",162,female
Ternaard,FR,Friesland,Capricorn,AB+,181.5,82.5,"5' 7""",171,male
Oosterstreek,FR,Friesland,Aries,A+,134.2,61,"5' 3""",160,female
Velp,GE,Gelderland,Libra,O+,146.1,66.4,"5' 6""",167,male
Schiermonnikoog,FR,Friesland,Libra,O+,176.2,80.1,"6' 0""",182,male
Groningen,GR,Groningen,Scorpio,B+,177.8,80.8,"6' 0""",184,male
Monnickendam,NH,Noord-Holland,Taurus,A+,194.9,88.6,"5' 6""",167,male
Huizen,NH,Noord-Holland,Gemini,B+,165.7,75.3,"5' 2""",158,female
Maarssen,UT,Utrecht,Libra,AB+,108.7,49.4,"5' 1""",155,female
Eindhoven,NB,Noord-Brabant,Leo,O+,118.4,53.8,"5' 7""",169,female
Beverwijk,NH,Noord-Holland,Cancer,O+,207.5,94.3,"5' 8""",172,male
Nunspeet,GE,Gelderland,Taurus,O+,227.5,103.4,"6' 3""",190,male
Den Haag,ZH,Zuid-Holland,Virgo,B+,211.9,96.3,"5' 9""",174,male
Rijswijk,ZH,Zuid-Holland,Taurus,O-,175.3,79.7,"5' 5""",165,male
Amsterdam-Zuidoost,NH,Noord-Holland,Sagittarius,O+,143.2,65.1,"5' 5""",165,female
Veendam,GR,Groningen,Taurus,A+,112.2,51,"5' 0""",153,female
Almere,FL,Flevoland,Taurus,B+,145,65.9,"5' 3""",160,female
Heerlen,LI,Limburg,Gemini,O-,181.5,82.5,"5' 4""",163,male
Heelsum,GE,Gelderland,Gemini,B+,177.8,80.8,"5' 2""",157,female
Valkenswaard,NB,Noord-Brabant,Libra,B+,236.5,107.5,"5' 7""",170,male
Wanroij,NB,Noord-Brabant,Sagittarius,A+,224.2,101.9,"6' 1""",185,male
Eindhoven,NB,Noord-Brabant,Sagittarius,O+,185.7,84.4,"5' 6""",167,female
Linde,DR,Drenthe,Aquarius,O+,146.7,66.7,"5' 11""",181,male
Alkmaar,NH,Noord-Holland,Pisces,O+,183.3,83.3,"6' 2""",188,male
Helmond,NB,Noord-Brabant,Capricorn,AB+,144.5,65.7,"5' 6""",167,female
Bovenkarspel,NH,Noord-Holland,Aries,A+,137.7,62.6,"5' 10""",178,male
Heenvliet,ZH,Zuid-Holland,Gemini,O+,205,93.2,"5' 8""",173,female
Hazerswoude Rijndijk,ZH,Zuid-Holland,Libra,A+,161.9,73.6,"5' 8""",173,male
Spijkenisse,ZH,Zuid-Holland,Scorpio,O-,176.2,80.1,"5' 5""",166,female
Baarn,UT,Utrecht,Sagittarius,A+,140.1,63.7,"5' 0""",152,female
Zwolle,OV,Overijssel,Gemini,O-,232.1,105.5,"5' 7""",169,male
Oldeholtpade,FR,Friesland,Libra,A+,200.2,91,"5' 1""",154,female
Soesterberg,UT,Utrecht,Sagittarius,O+,248.8,113.1,"5' 9""",176,male
Purmerend,NH,Noord-Holland,Libra,B+,187,85,"5' 0""",152,female
Zaandam,NH,Noord-Holland,Scorpio,A+,199.1,90.5,"5' 6""",168,male
Waalwijk,NB,Noord-Brabant,Libra,B+,160.8,73.1,"5' 1""",154,female
Clinge,ZE,Zeeland,Scorpio,O-,161.5,73.4,"5' 5""",164,female
Venlo,LI,Limburg,Leo,A+,161,73.2,"5' 5""",165,female
Rotterdam,ZH,Zuid-Holland,Capricorn,A+,116.8,53.1,"5' 4""",163,female
Almelo,OV,Overijssel,Pisces,A+,141,64.1,"5' 1""",154,female
Barneveld,GE,Gelderland,Libra,O+,112.2,51,"5' 7""",171,female
Nijmegen,GE,Gelderland,Capricorn,O+,252.3,114.7,"5' 10""",178,male
Zoetermeer,ZH,Zuid-Holland,Taurus,O+,202,91.8,"5' 7""",171,female
Barendrecht,ZH,Zuid-Holland,Virgo,O+,151.4,68.8,"6' 2""",187,male
Lelystad,FL,Flevoland,Sagittarius,O+,186.3,84.7,"5' 9""",174,male
Steenwijk,OV,Overijssel,Aries,AB+,184.4,83.8,"4' 11""",151,female
Ospel,LI,Limburg,Gemini,A+,222.2,101,"5' 3""",160,female
Valkenburg,LI,Limburg,Aquarius,A+,143.4,65.2,"5' 7""",171,female
Schagen,NH,Noord-Holland,Aries,B+,217.6,98.9,"5' 3""",159,female
Zuidwolde,DR,Drenthe,Leo,A+,162.1,73.7,"6' 0""",183,male
Winterswijk Brinkheurne,GE,Gelderland,Leo,B+,202.2,91.9,"6' 0""",182,male
Eerbeek,GE,Gelderland,Sagittarius,A+,167.9,76.3,"5' 4""",163,male
Voorburg,ZH,Zuid-Holland,Taurus,O+,206.8,94,"5' 9""",176,male
Amsterdam,NH,Noord-Holland,Aries,O+,171.8,78.1,"5' 6""",167,female
Schiedam,ZH,Zuid-Holland,Cancer,A+,208.8,94.9,"5' 8""",173,male
Amsterdam,NH,Noord-Holland,Capricorn,O+,180.6,82.1,"5' 2""",157,female
Amsterdam,NH,Noord-Holland,Capricorn,A+,216.7,98.5,"5' 2""",158,female
Amsterdam,NH,Noord-Holland,Sagittarius,B+,202.6,92.1,"5' 3""",159,female
Warffum,GR,Groningen,Aquarius,B+,222,100.9,"5' 9""",176,male
Blijham,GR,Groningen,Taurus,A-,198,90,"5' 3""",160,female
Papendrecht,ZH,Zuid-Holland,Pisces,O-,128.5,58.4,"5' 8""",172,female
Venlo,LI,Limburg,Libra,A+,106.3,48.3,"5' 8""",172,female
Franeker,FR,Friesland,Sagittarius,O+,177.5,80.7,"5' 5""",166,female
Bennebroek,NH,Noord-Holland,Gemini,B+,164.1,74.6,"5' 7""",171,male
Best,NB,Noord-Brabant,Capricorn,AB+,196,89.1,"5' 7""",169,male
Oudenbosch,NB,Noord-Brabant,Libra,B+,231.2,105.1,"6' 0""",184,male
Koudekerk aan den Rijn,ZH,Zuid-Holland,Taurus,O+,169.2,76.9,"5' 6""",168,female
Sevenum,LI,Limburg,Scorpio,O-,143.9,65.4,"5' 3""",161,female
Amsterdam,NH,Noord-Holland,Sagittarius,B+,142.1,64.6,"5' 7""",170,male
Noordwijk,ZH,Zuid-Holland,Libra,B+,219.8,99.9,"5' 6""",168,male
Breda,NB,Noord-Brabant,Virgo,A+,149.2,67.8,"6' 0""",183,male
Zoetermeer,ZH,Zuid-Holland,Scorpio,O+,233.2,106,"5' 8""",172,male
Oosterhout,NB,Noord-Brabant,Capricorn,O+,207,94.1,"5' 5""",166,female
Almelo,OV,Overijssel,Aries,O+,209.7,95.3,"5' 7""",171,male
Urmond,LI,Limburg,Libra,A+,142.6,64.8,"5' 10""",178,male
Breda,NB,Noord-Brabant,Virgo,O+,171.8,78.1,"5' 6""",167,male
Wittem,LI,Limburg,Virgo,A+,256.3,116.5,"5' 7""",171,male
Zwaag,NH,Noord-Holland,Gemini,O+,204.8,93.1,"5' 3""",160,female
Almelo,OV,Overijssel,Taurus,O-,170.5,77.5,"5' 4""",163,female
Gorinchem,ZH,Zuid-Holland,Sagittarius,B+,223.5,101.6,"5' 10""",178,male
Groningen,GR,Groningen,Taurus,B+,121.4,55.2,"5' 3""",159,female
Rotterdam,ZH,Zuid-Holland,Libra,O+,157.7,71.7,"6' 0""",182,male
Amsterdam,NH,Noord-Holland,Scorpio,AB+,172.5,78.4,"5' 4""",163,female
Eefde,GE,Gelderland,Pisces,O+,167,75.9,"5' 8""",173,female
Epe,GE,Gelderland,Gemini,A+,247.5,112.5,"6' 0""",182,male
Amsterdam,NH,Noord-Holland,Aquarius,O+,140.8,64,"5' 8""",173,male
Didam,GE,Gelderland,Aquarius,O+,165.2,75.1,"5' 5""",166,female
Assendelft,NH,Noord-Holland,Libra,O-,173.8,79,"5' 3""",161,female
Vlagtwedde,GR,Groningen,Sagittarius,B+,229.9,104.5,"5' 0""",153,female
Gorinchem,ZH,Zuid-Holland,Libra,A+,117.9,53.6,"5' 3""",159,female
Bovenkarspel,NH,Noord-Holland,Scorpio,A+,219.1,99.6,"6' 1""",186,male
Honselersdijk,ZH,Zuid-Holland,Taurus,A+,152.9,69.5,"5' 7""",169,male
Drachten,FR,Friesland,Capricorn,A+,197.6,89.8,"5' 5""",166,female
Utrecht,UT,Utrecht,Sagittarius,B-,160.6,73,"5' 8""",172,male
Bilthoven,UT,Utrecht,Capricorn,O+,188.3,85.6,"5' 10""",179,male
Harkema,FR,Friesland,Leo,O+,176.4,80.2,"6' 0""",183,male
Wormer,NH,Noord-Holland,Libra,O+,194.9,88.6,"6' 1""",185,male
Zaandam,NH,Noord-Holland,Scorpio,O+,245.1,111.4,"6' 0""",182,male
Almere,FL,Flevoland,Libra,B+,164.3,74.7,"5' 10""",178,male
Heeg,FR,Friesland,Cancer,B+,144.1,65.5,"5' 7""",171,male
Waddinxveen,ZH,Zuid-Holland,Leo,B+,204.6,93,"5' 9""",174,male
Rotterdam,ZH,Zuid-Holland,Gemini,A+,144.5,65.7,"5' 4""",163,female
Hilversum,NH,Noord-Holland,Sagittarius,B+,150.5,68.4,"5' 6""",168,female
Laag-Soeren,GE,Gelderland,Pisces,O+,253,115,"5' 10""",179,male
Rotterdam,ZH,Zuid-Holland,Virgo,O+,212.5,96.6,"5' 9""",176,male
Schoonhoven,ZH,Zuid-Holland,Capricorn,O-,113.1,51.4,"5' 4""",162,female
Amsterdam,NH,Noord-Holland,Aquarius,O-,185,84.1,"6' 0""",182,male
Sas van Gent,ZE,Zeeland,Capricorn,O+,180,81.8,"5' 1""",155,female
Enschede,OV,Overijssel,Virgo,A+,105.8,48.1,"5' 6""",167,female
Terneuzen,ZE,Zeeland,Scorpio,O+,218.9,99.5,"5' 5""",164,male
Vinkel,NB,Noord-Brabant,Scorpio,O+,218.9,99.5,"5' 6""",168,male
Oud-Beijerland,ZH,Zuid-Holland,Pisces,O+,184.1,83.7,"5' 6""",168,female
Gouda,ZH,Zuid-Holland,Leo,AB+,244,110.9,"6' 0""",183,male
Papendrecht,ZH,Zuid-Holland,Scorpio,B+,233,105.9,"5' 7""",169,male
Amsterdam,NH,Noord-Holland,Gemini,O-,146.1,66.4,"6' 0""",183,male
Dedemsvaart,OV,Overijssel,Aries,O+,248.2,112.8,"5' 7""",169,male
Amsterdam,NH,Noord-Holland,Aries,AB+,185.7,84.4,"6' 1""",185,male
Middelburg,ZE,Zeeland,Aries,O+,162.4,73.8,"5' 4""",162,female
Almere,FL,Flevoland,Cancer,A+,199.1,90.5,"5' 11""",181,male
Nijmegen,GE,Gelderland,Aquarius,B+,244.6,111.2,"6' 0""",182,male
Bilthoven,UT,Utrecht,Leo,A+,219.3,99.7,"6' 1""",185,male
Appingedam,GR,Groningen,Scorpio,B+,192.1,87.3,"5' 5""",164,female
Amersfoort,UT,Utrecht,Gemini,B+,248.6,113,"5' 9""",176,male
Doetinchem,GE,Gelderland,Virgo,A+,196.5,89.3,"5' 10""",177,male
Willemstad,NB,Noord-Brabant,Libra,O+,246.6,112.1,"5' 5""",166,male
Sassenheim,ZH,Zuid-Holland,Capricorn,A+,174,79.1,"5' 7""",171,male
Rotterdam,ZH,Zuid-Holland,Aquarius,B+,125,56.8,"5' 6""",167,female
Ter Apel,GR,Groningen,Cancer,A+,203.1,92.3,"5' 10""",177,male
Heerhugowaard,NH,Noord-Holland,Scorpio,A+,195.4,88.8,"5' 6""",167,female
Kerkrade,LI,Limburg,Aries,O+,145.9,66.3,"5' 9""",174,male
Hoeven,NB,Noord-Brabant,Libra,A+,176.9,80.4,"5' 9""",174,male
Nuenen,NB,Noord-Brabant,Scorpio,B+,215.8,98.1,"5' 6""",168,female
Arkel,ZH,Zuid-Holland,Cancer,O+,233.4,106.1,"5' 8""",173,male
Den Haag,ZH,Zuid-Holland,Aries,O+,204.8,93.1,"5' 7""",170,male
Hank,NB,Noord-Brabant,Cancer,A+,215.2,97.8,"5' 9""",175,male
Wormer,NH,Noord-Holland,Leo,AB+,225.7,102.6,"5' 3""",160,female
Laren,NH,Noord-Holland,Taurus,B+,173.8,79,"6' 1""",186,male
Sint Hubert,NB,Noord-Brabant,Pisces,A+,117,53.2,"6' 0""",182,male
Abbega,FR,Friesland,Libra,O+,154.7,70.3,"5' 5""",165,female
Groningen,GR,Groningen,Leo,B+,166.5,75.7,"5' 4""",162,male
Schagen,NH,Noord-Holland,Aries,O+,213,96.8,"6' 2""",187,male
Den Helder,NH,Noord-Holland,Gemini,B+,246.2,111.9,"5' 7""",169,male
Hoorn,NH,Noord-Holland,Virgo,O+,190.7,86.7,"5' 5""",164,female
Meppel,DR,Drenthe,Gemini,O+,249.5,113.4,"5' 10""",177,male
Groningen,GR,Groningen,Sagittarius,O+,159.5,72.5,"5' 7""",170,female
Arnhem,GE,Gelderland,Aries,O+,153.6,69.8,"5' 6""",167,female
Breda,NB,Noord-Brabant,Cancer,A+,209.9,95.4,"5' 10""",178,male
Kootwijkerbroek,GE,Gelderland,Gemini,B+,199.5,90.7,"6' 0""",182,male
Zoetermeer,ZH,Zuid-Holland,Aquarius,O+,204.4,92.9,"5' 8""",172,male
